"nombre_pais","region","anio","Crecimiento del PIB (% anual)","Crecimiento del PIB per cápita (% anual)","Índice de recuento de la pobreza multidimensional (Banco Mundial) (% de la población)","pbi","pbi_pc","pob"
"Afganistán","Asia del Sur",2016,2.26031420279821,-0.300121027406746,NA,2.26031420279821,-0.300121027406746,NA
"Afganistán","Asia del Sur",2017,2.6470032027451,-0.195569548342789,NA,2.6470032027451,-0.195569548342789,NA
"Afganistán","Asia del Sur",2018,1.18922812944517,-1.71374269254262,NA,1.18922812944517,-1.71374269254262,NA
"Afganistán","Asia del Sur",2019,3.91160341625552,0.856294729087764,NA,3.91160341625552,0.856294729087764,NA
"Afganistán","Asia del Sur",2020,-2.35110067203466,-5.38251464221077,NA,-2.35110067203466,-5.38251464221077,NA
"Afganistán","Asia del Sur",2021,-20.7388393676343,-22.5844818732987,NA,-20.7388393676343,-22.5844818732987,NA
"Afganistán","Asia del Sur",2022,-6.24017199240269,-7.57666891152213,NA,-6.24017199240269,-7.57666891152213,NA
"Afganistán","Asia del Sur",2023,2.26694373649188,0.10609280092082,NA,2.26694373649188,0.10609280092082,NA
"Afganistán","Asia del Sur",2024,NA,NA,NA,NA,NA,NA
"Afganistán","Asia del Sur",2025,NA,NA,NA,NA,NA,NA
"Albania","Europa y Asia Central",2016,3.90893551362245,5.52482598081943,1.8,3.90893551362245,5.52482598081943,1.8
"Albania","Europa y Asia Central",2017,3.28317593330073,4.88935288088643,1.7,3.28317593330073,4.88935288088643,1.7
"Albania","Europa y Asia Central",2018,3.67141928098908,5.28357949627288,1.2,3.67141928098908,5.28357949627288,1.2
"Albania","Europa y Asia Central",2019,2.06257790176122,3.64975808463876,NA,2.06257790176122,3.64975808463876,NA
"Albania","Europa y Asia Central",2020,-3.31375636888916,-1.81016536329729,NA,-3.31375636888916,-1.81016536329729,NA
"Albania","Europa y Asia Central",2021,8.96957619074095,10.6641494274411,NA,8.96957619074095,10.6641494274411,NA
"Albania","Europa y Asia Central",2022,4.8268006234359,6.45698822084806,NA,4.8268006234359,6.45698822084806,NA
