nombre_pais,codigo_del_pais,region,anio,Crecimiento del PIB (% anual),PIB per cápita (US$ actuales),Crecimiento del PIB per cápita (% anual),"Inflación, precios al consumidor (% anual)","Expectativa de vida, total (años)",Mortalidad infantil (cada 1.000 nacimientos),"Gasto público en educación, total (% del PIB)",Indice de Gini,Índice de recuento de la pobreza multidimensional (Banco Mundial) (% de la población)
Afganistán,AFG,Asia del Sur,2016,2.260314202798213,522.0822155838985,-0.30012102740674607,4.38389195513914,62.646,61.9,4.5439600944519,NA,NA
Afganistán,AFG,Asia del Sur,2017,2.647003202745097,525.4697708916185,-0.19556954834278883,4.97595150553832,62.406,60.1,4.34319019317627,NA,NA
Afganistán,AFG,Asia del Sur,2018,1.1892281294451692,491.3372213826032,-1.713742692542624,0.626149149168846,62.443,58.3,NA,NA,NA
Afganistán,AFG,Asia del Sur,2019,3.9116034162555167,496.6025042584997,0.8562947290877645,2.30237251516833,62.941,56.6,NA,NA,NA
Afganistán,AFG,Asia del Sur,2020,-2.3511006720346614,510.78706336681074,-5.382514642210765,5.60188791482224,61.454,54.9,NA,NA,NA
Afganistán,AFG,Asia del Sur,2021,-20.738839367634327,356.49621411589226,-22.584481873298685,5.13320340824962,60.417,53.2,NA,NA,NA
Afganistán,AFG,Asia del Sur,2022,-6.2401719924026935,357.2611527981439,-7.576668911522134,13.7121023720064,65.617,51.6,NA,NA,NA
Afganistán,AFG,Asia del Sur,2023,2.266943736491882,413.75789470530316,0.10609280092081974,-4.64470870797774,66.035,49.9,NA,NA,NA
Afganistán,AFG,Asia del Sur,2024,NA,NA,NA,-6.60118564073725,66.289,48.3,NA,NA,NA
Afganistán,AFG,Asia del Sur,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albania,ALB,Europa y Asia Central,2016,3.9089355136224526,4457.634122074947,5.524825980819429,1.27543168367423,78.643,7.6,3.91997003555298,33.7,1.8
Albania,ALB,Europa y Asia Central,2017,3.2831759333007255,5006.360129519591,4.889352880886435,1.98666133171194,78.9,7.7,3.54673004150391,33.1,1.7
Albania,ALB,Europa y Asia Central,2018,3.6714192809890847,5897.654525887742,5.283579496272878,2.02805963071134,79.238,7.8,3.08201370407389,30.1,1.2
Albania,ALB,Europa y Asia Central,2019,2.062577901761216,6069.439031310275,3.649758084638762,1.41109078954242,79.467,8,3.8701798915863,30.1,NA
Albania,ALB,Europa y Asia Central,2020,-3.313756368889159,6027.913507163485,-1.810165363297287,1.6208866171702,77.824,8.1,3.32505011558533,29.4,NA
Albania,ALB,Europa y Asia Central,2021,8.969576190740952,7242.455131466127,10.664149427441146,2.04147163139544,76.844,8.3,3.00555992126465,NA,NA
