"nombre_pais","region","pbi_inicial","pbi_final","pbi_pc_inicial","pbi_pc_final","pob_inicial","pob_final"
"Dominica","América Latina y el Caribe",1.44724556489263,2.052738472526,2.6190351438682,2.52288551933697,NA,NA
"Ecuador","América Latina y el Caribe",-0.687954245877947,-2.00125476341026,-2.12550882201938,-2.84096326274179,5.8,5.9
"Egipto","Oriente Medio y Norte de África",4.34664345555447,2.3991692678251,2.24497375649698,0.639636335125445,4,2
"El Salvador","América Latina y el Caribe",2.53906241135864,2.60202016121069,2.25589267443243,2.13954811058277,9.2,6.2
"Emiratos Árabes Unidos","Oriente Medio y Norte de África",5.65793329224303,3.99180705485398,0.574841518832997,-0.766018786578641,NA,NA
"Eritrea","África Subsahariana",NA,NA,NA,NA,NA,NA
"Eslovaquia","Europa y Asia Central",1.94781841524558,1.93867445549446,1.81646959957402,2.02649250952174,1.5,0.5
"Eslovenia","Europa y Asia Central",3.03441486663654,1.73139722479493,2.95902414777296,1.39957708502673,0,0
"España","Europa y Asia Central",2.91515598595787,3.45525405630191,2.83577124069477,2.40413218623925,4.7,3.2
"Estados Unidos de América","América del Norte",1.81945147788167,2.79300127716779,1.02266589117943,1.79419235153047,1.4,1.3
"Estonia","Europa y Asia Central",3.09301920751959,-0.0900428648493801,3.06301090349199,-0.239652154313688,0.6,0.4
"Eswatini","África Subsahariana",2.94916821059911,2.97391075973985,2.34965752297238,1.95346963066669,47.7,NA
"Etiopía","África Subsahariana",9.43348265981905,7.61277447511073,6.5099145630674,4.86819977515492,NA,65.5
"Faroe Islands","Europa y Asia Central",1.38644795938293,0.843716851362103,0.228366463809365,0.351310487189679,NA,NA
"Federación de Rusia","Europa y Asia Central",0.193690071260534,4.34437475491529,-0.0904862004782103,4.55626099351906,NA,NA
"Fiji","Asia Oriental y el Pacífico",2.44565179664245,3.53085896076352,2.38011625327333,3.01375309468594,NA,NA
"Filipinas","Asia Oriental y el Pacífico",7.14945675000752,5.69201612823412,5.7212148588973,4.82301240715314,9.3,6.2
"Finlandia","Europa y Asia Central",2.57193414898754,0.416171964862073,2.27754373131673,-0.227073487020519,1.4,1.7
"Francia","Europa y Asia Central",0.860031075424033,1.19046798275883,0.594243752389232,0.925700761599856,1.8,1.3
"French Polynesia","Asia Oriental y el Pacífico",2.30219823670438,1.12638897730247,1.82142796079958,0.879141456817294,NA,NA
"Gabón","África Subsahariana",2.09144220829562,3.39403899592401,-0.79183198007,1.18835281747864,9.3,NA
