nombre_pais,region,PBI_INICIAL,PBI_ULTIMO,POB_INICIAL,POB_ULTIMO,variacion_pbi,variacion_pobreza
Perú,América Latina y el Caribe,3.953318715207672,3.303940981715158,9.1,6.9,-0.1642614168684352,-0.241758241758242
República Democrática Popular Lao,Asia Oriental y el Pacífico,7.022836255011384,4.130192644369373,18.5,10.3,-0.411891080128469,-0.443243243243243
República Dominicana,América Latina y el Caribe,6.719740786812949,4.953522044928491,4.5,1.6,-0.262840308565257,-0.644444444444444
República Popular Democrática de Corea,Asia Oriental y el Pacífico,NA,NA,NA,NA,NA,NA
República de Corea,Asia Oriental y el Pacífico,3.171527489839349,2.0036110183898614,0.2,0.1,-0.36825046454465615,-0.5
Saint Kitts y Nevis,América Latina y el Caribe,3.9327031927328164,0.3122268558581709,NA,NA,-0.9206075718007068,NA
Samoa,Asia Oriental y el Pacífico,7.9838628784712995,4.748384455647141,NA,NA,-0.4052522534610048,NA
San Vicente y las Granadinas,América Latina y el Caribe,4.149681004698095,4.061834900502092,NA,NA,-0.021169363162264282,NA
Santa Lucía,América Latina y el Caribe,3.4278721452521097,3.8917502421889765,NA,NA,0.1353253789174654,NA
Singapur,Asia Oriental y el Pacífico,3.7475784879279246,4.388023624618654,NA,NA,0.17089572339946865,NA
Sint Maarten (Dutch part),América Latina y el Caribe,0.9677583630688105,3.000000000000142,NA,NA,2.0999473778629936,NA
St. Martin (French part),América Latina y el Caribe,5,4.899999671335337,NA,NA,-0.020000065732932625,NA
Suriname,América Latina y el Caribe,-4.911660509058507,1.7209573701173895,NA,3,-1.3503819873021459,3
Tailandia,Asia Oriental y el Pacífico,3.4351577169218217,2.541820677352888,0.3,0.1,-0.26005706671582923,-0.666666666666667
Timor-Leste,Asia Oriental y el Pacífico,3.0099335809327386,-9.100693697727351,NA,NA,-4.023552996444249,NA
Tonga,Asia Oriental y el Pacífico,6.598704361183437,2.7901436686266834,NA,0.4,-0.5771679536001688,0.4
Trinidad y Tabago,América Latina y el Caribe,-7.536363053793721,2.509208139795689,NA,NA,-1.3329468235387867,NA
Turks and Caicos Islands,América Latina y el Caribe,7.251186275702651,5.636825174433625,NA,NA,-0.22263406839766942,NA
Tuvalu,Asia Oriental y el Pacífico,5.660377358490564,3.852809195170323,NA,NA,-0.319337042186576,NA
Uruguay,América Latina y el Caribe,1.689798229717752,3.1082547806617242,0.2,0.2,0.8394236222989165,0
Vanuatu,Asia Oriental y el Pacífico,3.471544715447152,0.9421853622759073,NA,NA,-0.7285976591102186,NA
Venezuela (República Bolivariana de),América Latina y el Caribe,-17.040334599654784,5.299999999999841,NA,NA,-1.3110267564879396,NA
Viet Nam,Asia Oriental y el Pacífico,6.690008926604236,7.091187466339747,3.5,1.9,0.059966816806497805,-0.457142857142857
Virgin Islands (U.S.),América Latina y el Caribe,1.6008537886873029,-1.3112320633349839,NA,NA,-1.8190829622299185,NA
