"Country Name","Country Code","year","gdp_pc_growth","inflation","life_expectancy","infant_mortality","edu_expenditure","gini","poverty_multi","region","gdp_pc_growth_n","inflation_n","life_expectancy_n","infant_mortality_n","edu_expenditure_n","gini_n","poverty_multi_n","dim_economica","dim_social","dim_equidad","indice_compuesto"
"Afghanistan","AFG","2016",-0.300121027406746,4.38389195513914,62.646,61.9,4.5439600944519,NA,NA,"South Asia",0.422329335165449,0.970709550782175,0.647586400508282,0.704766536964981,0.27723064453761,NA,NA,0.696519442973812,0.543194527336957,NA,0.619856985155385
"Afghanistan","AFG","2017",-0.195569548342789,4.97595150553832,62.406,60.1,4.34319019317627,NA,NA,"South Asia",0.423132251972383,0.969669935686877,0.644040248821643,0.71352140077821,0.264981501258316,NA,NA,0.69640109382963,0.540847716952723,NA,0.618624405391176
"Afghanistan","AFG","2018",-1.71374269254262,0.626149149168846,62.443,58.3,NA,NA,NA,"South Asia",0.411473242035584,0.977307883910489,0.644586947206667,0.72227626459144,NA,NA,NA,0.694390562973036,0.683431605899053,NA,0.688911084436045
"Afghanistan","AFG","2019",0.856294729087764,2.30237251516833,62.941,56.6,NA,NA,NA,"South Asia",0.431210181758969,0.974364553103294,0.651945211956442,0.730544747081712,NA,NA,NA,0.702787367431131,0.691244979519077,NA,0.697016173475104
"Afghanistan","AFG","2020",-5.38251464221077,5.60188791482224,61.454,54.9,NA,NA,NA,"South Asia",0.38329842628387,0.968570835200533,0.629973847131311,0.738813229571984,NA,NA,NA,0.675934630742202,0.684393538351648,NA,0.680164084546925
"Afghanistan","AFG","2021",-22.5844818732987,5.13320340824962,60.417,53.2,NA,NA,NA,"South Asia",0.25119366099674,0.969393812361592,0.614651516718628,0.747081712062257,NA,NA,NA,0.610293736679166,0.680866614390442,NA,0.645580175534804
"Afghanistan","AFG","2022",-7.57666891152213,13.7121023720064,65.617,51.6,NA,NA,NA,"South Asia",0.366448130567268,0.95432986675385,0.69148480326246,0.754863813229572,NA,NA,NA,0.660388998660559,0.723174308246016,NA,0.691781653453287
"Afghanistan","AFG","2023",0.10609280092082,-4.64470870797774,66.035,49.9,NA,NA,NA,"South Asia",0.425448907579854,0.986563141071301,0.697661017450021,0.763132295719844,NA,NA,NA,0.706006024325577,0.730396656584933,NA,0.718201340455255
"Afghanistan","AFG","2024",NA,-6.60118564073725,66.289,48.3,NA,NA,NA,"South Asia",NA,0.989998577509287,0.701414027985047,0.77091439688716,NA,NA,NA,0.989998577509287,0.736164212436103,NA,0.863081394972695
"Albania","ALB","2016",5.52482598081943,1.27543168367423,78.643,7.6,3.91997003555298,33.7,1.8,"Europe & Central Asia",0.46706278029962,0.976167789263709,0.883952186054759,0.968871595330739,0.239160477706104,0.692982456140351,0.979545454545454,0.721615284781665,0.697328086363867,0.836263955342903,0.751735775496145
"Albania","ALB","2017",4.88935288088643,1.98666133171194,78.9,7.7,3.54673004150391,33.1,1.7,"Europe & Central Asia",0.462182581216273,0.974918919825111,0.887749523485867,0.968385214007782,0.216388786652705,0.710526315789474,0.980681818181818,0.718550750520692,0.690841174715452,0.845604066985646,0.751665330740596
"Albania","ALB","2018",5.28357949627288,2.02805963071134,79.238,7.8,3.08201370407389,30.1,1.2,"Europe & Central Asia",0.465210096255451,0.974846227312119,0.892743687111216,0.967898832684825,0.188036045702784,0.798245614035088,0.986363636363636,0.720028161783785,0.682892855166275,0.892304625199362,0.765075214049807
"Albania","ALB","2019",3.64975808463876,1.41109078954242,79.467,8,3.8701798915863,30.1,NA,"Europe & Central Asia",0.45266295026886,0.975929581377053,0.89612730684555,0.966926070038911,0.236122738465961,0.798245614035088,NA,0.714296265822956,0.699725371783474,0.798245614035088,0.737422417213839
"Albania","ALB","2020",-1.81016536329729,1.6208866171702,77.824,8.1,3.32505011558533,29.4,NA,"Europe & Central Asia",0.410732751479051,0.975561194600443,0.871850943424105,0.966439688715953,0.202863904897685,0.818713450292398,NA,0.693146973039747,0.680384845679248,0.818713450292398,0.730748423003798
